"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2021","1207.40","1205.75","1208.50","1202.80","","-0.16%"
"04/09/2021","1209.30","1236.10","1237.50","1193.20","13.57K","-2.11%"
"04/08/2021","1235.40","1234.40","1243.70","1222.10","8.23K","0.28%"
"04/07/2021","1231.90","1245.70","1252.50","1226.40","12.65K","-0.69%"
"04/06/2021","1240.50","1215.80","1248.70","1202.80","12.52K","2.54%"
"04/05/2021","1209.80","1216.90","1225.00","1196.50","7.01K","-0.91%"
"04/04/2021","1220.90","1214.25","1224.90","1214.00","","1.02%"
"04/01/2021","1208.60","1191.40","1217.50","1176.60","","1.44%"
"03/31/2021","1191.50","1159.50","1198.30","1159.10","11.56K","2.66%"
"03/30/2021","1160.60","1180.40","1189.90","1156.20","14.98K","-1.93%"
"03/29/2021","1183.40","1190.55","1205.50","1166.60","","-0.60%"
"03/28/2021","1190.50","1195.30","1195.30","1188.60","","0.74%"
"03/26/2021","1181.70","1156.10","1194.90","1154.20","11.46K","2.00%"
"03/25/2021","1158.50","1177.60","1188.40","1148.50","14.91K","-2.22%"
"03/24/2021","1184.80","1172.80","1194.50","1166.00","9.58K","0.51%"
"03/23/2021","1178.80","1191.00","1200.40","1172.50","6.31K","-0.78%"
"03/22/2021","1188.10","1200.60","1200.60","1167.70","7.41K","0.01%"
"03/21/2021","1188.00","1197.45","1198.70","1186.70","","-1.34%"
"03/19/2021","1204.10","1215.50","1218.70","1175.90","3.78K","-1.43%"
"03/18/2021","1221.60","1219.10","1237.70","1211.30","3.92K","1.50%"
"03/17/2021","1203.60","1220.10","1225.30","1193.00","3.41K","-1.62%"
"03/16/2021","1223.40","1224.50","1244.00","1210.40","4.69K","0.78%"
"03/15/2021","1213.90","1211.90","1228.40","1206.00","2.49K","0.59%"
"03/14/2021","1206.80","1206.60","1219.90","1204.60","","0.20%"
"03/12/2021","1204.40","1207.00","1219.00","1176.20","2.59K","-0.22%"
"03/11/2021","1207.00","1213.50","1236.10","1200.40","3.49K","0.03%"
"03/10/2021","1206.60","1180.70","1213.20","1160.00","2.73K","2.25%"
"03/09/2021","1180.00","1145.70","1186.30","1141.50","2.64K","2.02%"
"03/08/2021","1156.60","1137.60","1161.40","1124.40","3.55K","1.24%"
"03/07/2021","1142.45","1131.30","1142.55","1129.00","","0.84%"
"03/05/2021","1132.90","1135.50","1138.70","1115.20","1.82K","-0.61%"
"03/04/2021","1139.90","1174.50","1187.30","1124.80","2.44K","-3.94%"
"03/03/2021","1186.60","1211.00","1221.40","1170.70","3.72K","-2.63%"
"03/02/2021","1218.60","1196.00","1220.90","1178.20","2.60K","1.97%"
"03/01/2021","1195.10","1186.40","1234.60","1186.40","1.42K","-0.84%"
"02/28/2021","1205.25","1193.95","1209.00","1187.05","","1.34%"
"02/26/2021","1189.30","1226.80","1242.00","1175.60","0.72K","-3.75%"
"02/25/2021","1235.70","1274.10","1277.20","1226.80","1.60K","-1.87%"
"02/24/2021","1259.20","1260.55","1278.80","1241.80","","1.21%"
"02/23/2021","1244.10","1288.80","1290.00","1222.30","1.90K","-3.29%"
"02/22/2021","1286.40","1292.80","1313.00","1275.00","1.41K","-0.86%"
"02/21/2021","1297.60","1283.25","1305.60","1283.15","","0.04%"
"02/19/2021","1297.10","1290.20","1313.10","1244.40","1.16K","1.47%"
"02/18/2021","1278.30","1278.00","1299.00","1259.50","0.49K","1.34%"
"02/17/2021","1261.40","1271.80","1275.80","1236.20","0.76K","-1.68%"
"02/16/2021","1282.90","1274.00","1351.20","1270.00","1.37K","-2.72%"
"02/15/2021","1318.75","1271.40","1320.25","1270.60","","3.72%"
