Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,62.099998,62.099998,59.759998,61.939999,53.483940,2139258
2020-12-14,62.040001,63.200001,60.220001,60.860001,52.551384,1164814
2020-12-15,60.000000,60.439999,59.060001,59.900002,51.722443,1147012
2020-12-16,59.959999,61.500000,59.720001,60.060001,51.860603,1001888
2020-12-17,60.320000,60.900002,56.900002,58.500000,50.513573,2308463
2020-12-18,58.000000,59.439999,57.900002,58.480000,50.496300,1990619
2020-12-21,57.400002,57.480000,53.520000,54.840000,47.353233,2102910
2020-12-22,54.939999,56.500000,54.240002,56.259998,48.579376,1098398
2020-12-23,56.740002,58.000000,56.340000,57.419998,49.581009,713856
2020-12-24,57.419998,57.419998,57.419998,57.419998,49.581009,0
2020-12-25,57.419998,57.419998,57.419998,57.419998,49.581009,0
2020-12-28,58.560001,59.939999,58.500000,59.599998,51.463398,829318
2020-12-29,60.000000,61.000000,58.840000,59.200001,51.118004,849821
2020-12-30,59.200001,59.299999,57.599998,57.720001,49.840054,1451962
2020-12-31,57.720001,57.720001,57.720001,57.720001,49.840054,0
2021-01-01,57.720001,57.720001,57.720001,57.720001,49.840054,0
2021-01-04,58.939999,60.619999,58.619999,58.980000,50.928040,1028132
2021-01-05,58.700001,60.180000,58.099998,59.599998,51.463398,1458858
2021-01-06,59.599998,59.599998,59.599998,59.599998,51.463398,0
2021-01-07,61.419998,62.900002,60.799999,62.900002,54.312885,2133973
2021-01-08,63.000000,64.980003,62.740002,63.980000,55.245438,2024786
2021-01-11,64.000000,64.199997,62.500000,63.419998,54.761890,1193999
2021-01-12,64.000000,64.500000,62.299999,63.259998,54.623734,1374732
2021-01-13,63.880001,63.939999,61.119999,61.340000,52.965855,1220431
2021-01-14,61.000000,62.299999,60.200001,61.939999,53.483940,896157
2021-01-15,61.480000,61.680000,59.279999,60.060001,51.860603,1280167
2021-01-18,59.799999,61.779999,58.599998,61.700001,53.276711,1172519
2021-01-19,62.400002,62.700001,60.500000,60.660000,52.378689,794454
2021-01-20,60.700001,61.200001,59.619999,60.480000,52.223259,869850
2021-01-21,60.500000,61.099998,59.599998,60.119999,51.912407,952741
2021-01-22,59.500000,60.099998,58.099998,59.680000,51.532478,1486153
2021-01-25,60.000000,60.220001,57.500000,57.900002,49.995487,1037405
2021-01-26,57.560001,59.660000,56.580002,58.599998,50.599915,1076352
2021-01-27,58.700001,59.380001,56.900002,57.200001,49.391048,1396691
2021-01-28,56.599998,58.560001,56.200001,58.000000,50.081833,1284795
2021-01-29,57.500000,57.580002,56.000000,56.020000,48.372143,2521801
2021-02-01,56.500000,58.259998,56.240002,57.180000,49.373779,1204934
2021-02-02,58.020000,59.480000,57.900002,59.040001,50.979851,1173850
2021-02-03,59.200001,60.000000,58.240002,58.919998,50.876228,845287
2021-02-04,60.000000,60.619999,58.480000,58.480000,50.496300,1103819
2021-02-05,59.180000,59.880001,58.560001,58.740002,50.720806,732824
2021-02-08,59.419998,60.259998,58.400002,59.959999,51.774250,1421873
2021-02-09,60.099998,61.720001,59.220001,60.419998,52.171452,1855011
2021-02-10,60.860001,61.299999,58.759998,59.439999,51.325241,1002727
2021-02-11,59.599998,60.200001,58.799999,59.439999,51.325241,934607
2021-02-12,59.439999,59.820000,58.360001,59.759998,51.601555,575565
